Date	Time	Oxygen	Temp
19-02-2023	15:58:43.407	99.555	30.857
19-02-2023	15:58:48.412	99.492	30.855
19-02-2023	15:58:53.416	99.638	30.854
19-02-2023	15:58:58.414	99.540	30.860
19-02-2023	15:59:03.414	99.576	30.855
19-02-2023	15:59:08.413	99.516	30.860
19-02-2023	15:59:13.409	99.571	30.857
19-02-2023	15:59:18.418	99.454	30.859
19-02-2023	15:59:23.410	99.507	30.861
19-02-2023	15:59:28.416	99.561	30.860
19-02-2023	15:59:33.415	99.558	30.859
19-02-2023	15:59:38.417	99.540	30.862
19-02-2023	15:59:43.416	99.577	30.861
19-02-2023	15:59:48.412	99.540	30.864
19-02-2023	15:59:53.414	99.454	30.864
19-02-2023	15:59:58.420	99.475	30.864
19-02-2023	16:00:03.417	99.539	30.862
19-02-2023	16:00:08.418	99.548	30.868
19-02-2023	16:00:13.416	99.546	30.865
19-02-2023	16:00:18.436	99.593	30.867
19-02-2023	16:00:23.426	99.594	30.866
19-02-2023	16:00:28.418	99.526	30.870
19-02-2023	16:00:33.422	99.579	30.867
19-02-2023	16:00:38.426	99.482	30.870
19-02-2023	16:00:43.422	99.590	30.870
19-02-2023	16:00:48.427	99.517	30.870
19-02-2023	16:00:53.422	99.557	30.870
19-02-2023	16:00:58.422	99.566	30.871
19-02-2023	16:01:03.426	99.594	30.872
19-02-2023	16:01:08.419	99.369	30.869
19-02-2023	16:01:13.423	99.580	30.871
19-02-2023	16:01:18.426	99.366	30.870
19-02-2023	16:01:23.428	99.514	30.873
19-02-2023	16:01:28.430	99.483	30.871
19-02-2023	16:01:33.428	99.597	30.874
19-02-2023	16:01:38.431	99.444	30.875
19-02-2023	16:01:43.432	99.448	30.871
19-02-2023	16:01:48.425	99.547	30.872
19-02-2023	16:01:53.430	99.393	30.875
19-02-2023	16:01:58.432	99.505	30.877
19-02-2023	16:02:03.428	99.473	30.877
19-02-2023	16:02:08.434	99.484	30.880
19-02-2023	16:02:13.430	99.459	30.875
19-02-2023	16:02:18.432	99.487	30.879
19-02-2023	16:02:23.442	99.564	30.877
19-02-2023	16:02:28.433	99.462	30.878
19-02-2023	16:02:33.432	99.484	30.878
19-02-2023	16:02:38.436	99.603	30.880
19-02-2023	16:02:43.437	99.532	30.880
19-02-2023	16:02:48.440	99.567	30.874
19-02-2023	16:02:53.439	99.682	30.878
19-02-2023	16:02:58.442	99.448	30.879
19-02-2023	16:03:03.439	99.612	30.881
19-02-2023	16:03:08.441	99.529	30.877
19-02-2023	16:03:13.432	99.620	30.881
19-02-2023	16:03:18.436	99.500	30.883
19-02-2023	16:03:23.447	99.558	30.881
19-02-2023	16:03:28.436	99.571	30.883
19-02-2023	16:03:33.438	99.372	30.882
19-02-2023	16:03:38.443	99.460	30.886
19-02-2023	16:03:43.441	99.350	30.883
19-02-2023	16:03:48.443	99.344	30.880
19-02-2023	16:03:53.447	99.409	30.878
19-02-2023	16:03:58.441	99.149	30.879
19-02-2023	16:04:03.444	99.191	30.879
19-02-2023	16:04:08.459	99.141	30.878
19-02-2023	16:04:13.442	98.939	30.878
19-02-2023	16:04:18.451	99.028	30.876
19-02-2023	16:04:23.455	98.785	30.873
19-02-2023	16:04:28.454	98.644	30.873
19-02-2023	16:04:33.454	98.602	30.873
19-02-2023	16:04:38.450	98.555	30.877
19-02-2023	16:04:43.459	98.567	30.875
19-02-2023	16:04:48.449	98.459	30.869
19-02-2023	16:04:53.456	98.499	30.868
19-02-2023	16:04:58.455	98.492	30.865
19-02-2023	16:05:03.457	98.412	30.875
19-02-2023	16:05:08.457	98.314	30.876
19-02-2023	16:05:13.454	98.286	30.878
19-02-2023	16:05:18.457	98.177	30.871
19-02-2023	16:05:23.461	98.241	30.874
19-02-2023	16:05:28.455	98.180	30.872
19-02-2023	16:05:33.460	98.095	30.872
19-02-2023	16:05:38.458	98.002	30.878
19-02-2023	16:05:43.457	97.916	30.880
19-02-2023	16:05:48.470	97.802	30.877
19-02-2023	16:05:53.460	97.736	30.877
19-02-2023	16:05:58.459	97.670	30.876
19-02-2023	16:06:03.462	97.670	30.878
19-02-2023	16:06:08.459	97.572	30.883
19-02-2023	16:06:13.460	97.595	30.885
19-02-2023	16:06:18.468	97.417	30.880
19-02-2023	16:06:23.469	97.483	30.879
19-02-2023	16:06:28.474	97.367	30.885
19-02-2023	16:06:33.462	97.285	30.890
19-02-2023	16:06:38.470	97.221	30.893
19-02-2023	16:06:43.473	97.104	30.889
19-02-2023	16:06:48.464	96.977	30.887
19-02-2023	16:06:53.466	96.970	30.888
19-02-2023	16:06:58.467	97.026	30.895
19-02-2023	16:07:03.469	96.859	30.892
19-02-2023	16:07:08.471	96.819	30.893
19-02-2023	16:07:13.468	96.777	30.890
